#{"t_start": 1655903818.3287206, "env_id": "DobotTrajectory-v0"}
r,l,t,final_status,is_success
-2.90195,50,1733.732777,success,0.0
-2.092289,50,1794.304595,success,1.0
-1.697024,50,1794.349164,success,1.0
-1.1394,50,1794.394578,success,1.0
-1.782366,50,1794.445614,success,1.0
-2.26989,50,1794.495381,success,1.0
-1.509006,50,1794.547863,success,1.0
-2.516917,50,1794.598647,success,1.0
-2.879057,50,1794.65094,success,1.0
-3.195539,50,1794.704251,success,1.0
-4.492237,50,1794.75624,success,1.0
-1.235407,50,1855.27489,success,1.0
-2.83833,50,1855.320701,success,1.0
-3.179606,50,1855.367245,success,0.0
-1.348675,50,1855.412125,success,1.0
-3.289161,50,1855.457055,success,1.0
-2.572054,50,1855.503571,success,1.0
-4.869231,50,1855.549529,success,1.0
-5.377042,50,1855.594478,success,0.0
-3.901546,50,1855.641215,success,0.0
-3.572841,50,1855.687883,success,1.0
-2.181149,50,1916.411641,success,1.0
-2.834714,50,1916.457429,success,1.0
-2.321434,50,1916.502383,success,1.0
-2.126325,50,1916.547063,success,1.0
-3.482628,50,1916.593238,success,1.0
-2.118546,50,1916.640617,success,1.0
-0.970454,50,1916.68505,success,1.0
-2.619124,50,1916.7302,success,1.0
-1.074547,50,1916.77731,success,1.0
-2.275961,50,1916.822302,success,1.0
-2.745184,50,1977.860623,success,1.0
-3.829742,50,1977.908106,success,1.0
-1.53918,50,1977.955314,success,1.0
-1.554886,50,1977.999421,success,1.0
-1.857609,50,1978.044544,success,1.0
-3.348527,50,1978.091494,success,1.0
-3.310742,50,1978.138267,success,0.0
-1.864463,50,1978.183053,success,1.0
-1.588326,50,1978.228994,success,1.0
-2.388956,50,1978.275359,success,1.0
-2.620833,50,2033.220278,success,1.0
-3.322211,50,2033.266618,success,1.0
-1.85193,50,2033.312725,success,1.0
-2.335837,50,2033.358184,success,1.0
-3.243473,50,2033.411312,success,1.0
-3.750068,50,2033.46508,success,1.0
-2.926817,50,2033.516715,success,1.0
-0.853748,50,2033.566588,success,1.0
-4.518229,50,2033.619216,success,1.0
-2.666589,50,2033.670836,success,1.0
-2.69741,50,2095.894962,success,1.0
-1.207657,50,2095.952743,success,1.0
-1.756482,50,2095.998522,success,1.0
-1.311965,50,2096.042575,success,1.0
-1.971976,50,2096.088015,success,1.0
-1.4708,50,2096.132477,success,1.0
-6.092609,50,2096.177827,success,0.0
-2.11526,50,2096.221869,success,1.0
-1.097611,50,2096.266585,success,1.0
-0.969033,50,2096.312006,success,1.0
-2.638632,50,2157.917685,success,1.0
-2.05495,50,2157.964609,success,1.0
-1.866842,50,2158.009749,success,1.0
-5.322529,50,2158.05741,success,0.0
-1.696961,50,2158.102756,success,1.0
-1.850923,50,2158.148941,success,1.0
