#{"t_start": 1651681209.5388203, "env_id": "FollowPathURSim-v0"}
r,l,t
3.553995,187,28734.145429
-2.289076,800,28829.256166
3.884375,51,28858.56907
-1.663433,150,28883.32629
-2.217992,800,28978.618365
-1.179839,45,28998.025904
-1.184096,76,29012.359622
3.780868,122,29031.542774
-1.268221,74,29048.555081
3.942868,33,29060.953618
-2.133742,499,29120.636398
-3.454255,800,29631.378331
-2.211929,462,29695.043275
-2.896698,579,29768.211983
3.884519,54,29790.309293
3.970155,32,29803.229719
1.422733,772,29890.16227
-1.109238,36,29914.544
-1.11098,34,29924.486542
3.900233,57,29936.756645
-1.084089,36,29948.387105
3.766981,187,29974.386579
-1.680901,355,30022.018634
-1.460106,136,30059.576158
-1.771452,281,30101.440363
-1.221387,97,30125.047413
-1.473556,169,30153.634787
3.924376,62,30177.259821
3.896863,66,30190.523754
-1.148126,41,30203.661551
3.938872,46,30214.981957
3.865843,59,30228.767304
-1.101917,52,30242.782753
-3.332322,588,30313.836607
3.868907,59,30337.910266
-1.105264,41,30350.421157
3.894321,61,30364.455024
-1.160387,35,30376.073515
-3.396469,678,30454.068707
-1.169977,116,30493.193596
-3.205736,778,30586.434402
-5.030026,698,30686.595069
3.905448,56,30711.796074
-2.552412,800,30804.479534
-1.086837,34,30830.326135
-3.780298,800,30920.549933
-4.094406,800,31029.250924
-1.154387,47,31063.021673
-1.05783,37,31073.384649
3.924528,43,31084.504313
-3.576783,800,31784.294088
-2.545093,468,31850.196498
-3.897516,724,31941.603292
3.878564,54,31966.88569
-2.232255,800,32060.052835
-2.056189,800,32160.741796
-2.822668,800,32262.000179
-3.088508,800,32366.822427
-1.959918,464,32443.941478
3.927769,41,32470.031126
3.956918,30,32481.401568
-1.195596,117,32500.320324
-1.128517,48,32517.885752
-2.499105,800,32609.348711
3.77638,116,32637.758033
-1.226627,73,32655.833727
-3.883343,738,32744.409687
-1.543803,140,32775.754776
-3.089476,672,32860.215955
-1.671265,404,32923.00935
-1.332486,800,33023.988542
3.887414,75,33045.392664
3.906672,53,33058.855531
3.822252,164,33085.563046
-2.48367,585,33680.949194
3.941648,46,33713.051705
-2.223936,800,33803.401924
-3.252927,489,33871.401623
3.952575,48,33893.692432
-3.107692,800,33983.743325
-1.730264,248,34029.18861
-1.739908,286,34072.000637
-2.657799,800,34169.717218
-1.153298,52,34210.64869
-1.684188,225,34242.599112
3.964316,26,34263.458049
3.105516,398,34311.488428
-1.6379,211,34346.845224
3.780117,190,34379.656076
-2.845861,800,34474.313081
-3.92619,800,34584.505213
-2.184855,378,34645.677279
3.930447,45,34669.374994
-2.95552,800,34761.251416
-1.113248,59,34785.300151
3.948284,32,34795.911025
-3.37868,800,34886.394005
3.925474,41,34907.900597
3.95388,30,34919.3465
-2.729007,800,35009.837581
3.670634,161,35043.536574
3.917471,42,35058.835521
-2.516971,800,35531.734689
-3.048857,800,35629.357973
-2.241164,800,35729.265881
-3.16373,459,35804.104459
-1.556644,181,35841.996526
-2.309501,800,35938.961982
-2.027816,800,36048.695605
3.865329,56,36072.152908
-1.115833,47,36087.253896
-1.143279,47,36098.661361
-1.19132,91,36116.682358
-2.286497,800,36212.585277
-2.847015,800,36316.008466
-3.348953,800,36420.648396
3.996136,7,36439.734981
-1.442304,100,36453.481047
3.969914,23,36466.660506
-2.83565,514,36526.553365
3.789722,79,36557.105015
-3.628225,584,36629.150786
-3.502824,800,36744.967018
-4.226211,708,36854.032513
3.97884,19,36889.017274
-2.148735,233,36918.707211
-2.595955,414,37742.724315
-2.241003,473,37808.979444
-1.589094,800,37916.042067
-1.94363,284,37967.823382
-2.025381,288,38017.353112
-2.865107,800,38119.459478
-1.626663,159,38161.641069
-2.058834,800,38257.084026
-4.866732,800,38361.441197
-2.538517,800,38464.221643
-1.113968,84,38490.632711
-3.478753,800,38582.957233
-4.174895,800,38686.40742
-2.19671,800,38788.065783
3.814401,96,38830.753812
-3.765264,491,38893.664452
-1.14495,71,38918.519822
-2.36077,800,39013.099947
-2.366451,800,39595.69397
3.905415,45,39624.72361
3.966121,28,39636.319922
3.92144,47,39647.096107
3.871126,52,39660.341115
-2.607577,800,39754.000903
-3.598246,800,39861.450512
-1.779293,800,39967.349405
-2.598862,800,40070.478619
-3.230755,800,40175.590219
-1.648051,800,40290.605249
-2.74955,468,40358.774638
3.701343,191,40404.950936
3.858052,70,40424.842898
-2.513822,479,40483.988821
-3.105665,800,40584.078954
-2.058657,146,40619.37143
3.731908,179,40651.555772
2.723362,511,40713.651876
3.653384,106,40737.559758
3.931762,51,40754.415198
-3.469539,800,40845.817702
3.908128,51,40869.240088
-2.754666,466,40926.731684
3.952895,29,40954.633697
-1.945996,800,41455.356304
3.905159,88,41483.111615
-4.552128,800,41576.510375
3.914177,43,41601.328892
-1.392276,122,41622.69476
